time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1990-01-01T09:03:12.880Z,36.417,140.568,67.9,4.8,mb,,,,1.2,us,usp00043tg,2014-11-07T00:45:26.659Z,"3 km NE of Hitachi-Naka, Japan",earthquake,,6.5,,12,reviewed,us,us
1990-01-03T08:53:38.930Z,35.457,141.272,10,4.3,mb,,,,1.1,us,usp00043vn,2014-11-07T00:45:27.933Z,"50 km SE of Hasaki, Japan",earthquake,,,,1,reviewed,us,us
1990-01-04T12:16:38.380Z,36.342,141.408,55.1,4.4,mb,,,,1.1,us,usp00043wh,2014-11-07T00:45:28.402Z,"73 km ESE of Hitachi, Japan",earthquake,,11.8,,4,reviewed,us,us
1990-01-04T23:25:57.190Z,32.381,138.821,247.7,5.2,mw,,,,0.9,us,usp00043x2,2016-11-09T21:35:52.211Z,"252 km SSE of ?yama, Japan",earthquake,,3.6,,,reviewed,us,hrv
1990-01-05T20:31:07.130Z,36.123,144.047,33,4.3,mb,,,,1.1,us,usp00043y6,2014-11-07T00:45:28.997Z,"293 km E of Hasaki, Japan",earthquake,,,,1,reviewed,us,us
1990-01-07T13:28:47.470Z,41.518,142.053,70.1,5.4,mw,,,,1.1,us,usp00043zp,2016-11-09T21:37:12.367Z,"74 km ENE of Mutsu, Japan",earthquake,,,,,reviewed,us,hrv
1990-01-07T19:50:34.220Z,44.161,140.828,25.4,4.8,ms,,,,1,us,usp00043zw,2014-11-07T00:45:30.105Z,"69 km WNW of Rumoi, Japan",earthquake,,9,,1,reviewed,us,us
1990-01-10T03:09:18.850Z,39.646,143.288,33.7,5.7,mw,,,,1.1,us,usp000442d,2022-04-28T20:01:11.641Z,"115 km E of Miyako, Japan",earthquake,,,,,reviewed,us,hrv
1990-01-10T03:11:17.630Z,39.706,143.306,36.6,5.8,mw,,,,1.1,us,usp000442e,2022-04-28T17:26:22.562Z,"117 km E of Miyako, Japan",earthquake,,6.3,,,reviewed,us,hrv
1990-01-11T11:10:51.200Z,35.066,135.951,25.8,4.8,mb,,,,1.1,us,usp000444a,2014-11-07T00:45:31.742Z,"2 km W of Moriyama, Japan",earthquake,,7.3,,18,reviewed,us,us
1990-01-14T01:43:49.410Z,29.064,130.824,33,4.7,mb,,,,1.6,us,usp0004484,2014-11-07T00:45:32.735Z,"132 km SSE of Koshima, Japan",earthquake,,,,1,reviewed,us,us
