time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2005-12-30T22:35:47.960Z,32.14,141.827,29.4,4.5,mb,20,159.7,,0.46,us,usp000e78f,2014-11-07T01:27:58.410Z,"Izu Islands, Japan region",earthquake,,21,,8,reviewed,us,us
2005-12-30T21:14:52.420Z,32.146,141.73,27.1,4.8,mb,67,113.3,,0.66,us,usp000e78d,2014-11-07T01:27:58.399Z,"Izu Islands, Japan region",earthquake,,14.6,,33,reviewed,us,us
2005-12-30T21:13:06.250Z,32.12,141.738,36.6,4.3,mwr,27,143.9,,0.75,us,usp000e78c,2014-11-07T01:27:58.396Z,"Izu Islands, Japan region",earthquake,,11.3,,,reviewed,us,nied
2005-12-29T11:23:33.490Z,39.795,141.742,84.8,4.4,mb,33,142,,0.95,us,usp000e75m,2014-11-07T01:27:58.120Z,"23 km NW of Miyako, Japan",earthquake,,7.8,,12,reviewed,us,us
2005-12-29T09:32:12.250Z,36.278,137.586,222.8,4.2,mb,32,121.5,,0.69,us,usp000e75b,2014-11-07T01:27:58.095Z,"27 km WSW of Hotaka, Japan",earthquake,,3.7,,9,reviewed,us,us
2005-12-29T08:30:34.480Z,27.367,139.853,472.3,5.3,mwc,267,34.2,,0.85,us,usp000e753,2016-11-10T01:16:20.419Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,hrv
2005-12-29T03:52:11.650Z,37.715,140.139,125.5,4.1,mb,11,141.5,,0.46,us,usp000e74n,2014-11-07T01:27:57.947Z,"16 km N of Inawashiro, Japan",earthquake,,12.4,,3,reviewed,us,us
2005-12-29T03:34:18.690Z,24.261,141.117,312.4,3.9,mb,20,134.6,,0.51,us,usp000e74k,2014-11-07T01:27:57.941Z,"Volcano Islands, Japan region",earthquake,,15.9,,8,reviewed,us,us
2005-12-28T15:41:52.520Z,43.043,145.594,54.1,4.5,mwr,57,134.9,,0.55,us,usp000e73s,2014-11-07T01:27:57.867Z,"31 km S of Nemuro, Japan",earthquake,,5.6,,,reviewed,us,nied
2005-12-28T14:03:38.520Z,35.604,140.12,81.2,4.4,mwr,56,126.4,,1.04,us,usp000e73k,2014-11-07T01:27:57.829Z,"0 km NE of Chiba, Japan",earthquake,,8,,,reviewed,us,nied
2005-12-28T13:35:36.020Z,35.549,140.161,69.5,4.1,mwr,27,134,,0.68,us,usp000e73j,2014-11-07T01:27:57.826Z,"6 km SE of Chiba, Japan",earthquake,,7.9,,,reviewed,us,nied
2005-12-28T10:25:18.420Z,26.756,141.062,35,4.6,mwr,17,113.7,,1.13,us,usp000e736,2014-11-07T01:27:57.782Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,nied
2005-12-28T09:46:07.650Z,36.218,139.907,67.9,4.7,mwr,118,119.6,,0.75,us,usp000e734,2014-11-07T01:27:57.771Z,"9 km SSE of Y?ki, Japan",earthquake,,5.3,,,reviewed,us,nied
2005-12-28T02:18:42.440Z,34.373,136.449,48.7,4.4,mb,8,149.4,,0.59,us,usp000e72q,2014-11-07T01:27:57.733Z,"26 km WSW of Ise, Japan",earthquake,,11.8,,1,reviewed,us,us
2005-12-27T21:17:06.840Z,25.496,128.219,35,3.6,m,8,155.6,,1.23,us,usp000e723,2014-11-07T01:27:57.624Z,"88 km SE of Itoman, Japan",earthquake,,0,,,reviewed,us,jma
2005-12-27T18:09:45.230Z,28.181,140.486,468,3.8,m,6,143.7,,,us,usp000e71q,2014-11-07T01:27:57.604Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,jma,jma
2005-12-27T10:33:43.980Z,36.966,135.764,330.9,4.5,mwr,64,56.9,,0.76,us,usp000e70y,2014-11-07T01:27:57.485Z,"86 km WNW of Kanazawa, Japan",earthquake,,3.5,,,reviewed,us,nied
2005-12-27T08:28:30.180Z,24.387,122.59,56.7,0,,7,101,,0.85,us,usp000e70p,2014-11-07T01:27:57.460Z,"42 km WSW of Yonakuni, Japan",earthquake,,11.6,,,reviewed,us,us
2005-12-27T03:57:27.520Z,42.168,142.486,45.2,4.3,mb,13,90.2,,1.46,us,usp000e70c,2014-11-07T01:27:57.423Z,"20 km SSE of Shizunai-furukawach?, Japan",earthquake,,46.4,,3,reviewed,us,us
2005-12-26T21:29:00.840Z,37.068,142.006,46,3.7,m,7,229,,,us,usp000e6zn,2014-11-07T01:27:57.329Z,"99 km E of Iwaki, Japan",earthquake,,,,,reviewed,jma,jma
2005-12-26T20:14:07.050Z,36.209,137.174,269.9,4.3,mb,28,93,,0.76,us,usp000e6zg,2014-11-07T01:27:57.318Z,"10 km NW of Takayama, Japan",earthquake,,4,,9,reviewed,us,us
2005-12-26T17:21:26.100Z,26.839,140.88,35,4.3,mwr,30,79.8,,1.03,us,usp000e6z3,2014-11-07T01:27:57.290Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,nied
2005-12-26T14:51:30.260Z,26.751,140.652,50.5,4.3,mb,14,134.4,,1.15,us,usp000e6yw,2014-11-07T01:27:57.279Z,"Bonin Islands, Japan region",earthquake,,20.2,,5,reviewed,us,us
2005-12-26T13:55:49.250Z,26.817,141.045,35,4.3,mb,26,118.1,,0.92,us,usp000e6yp,2014-11-07T01:27:57.248Z,"Bonin Islands, Japan region",earthquake,,,,7,reviewed,us,us
2005-12-26T13:48:01.750Z,26.822,140.646,7.4,5.7,mwb,242,51.9,,1.2,us,usp000e6ym,2022-05-02T18:10:41.561Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,us
2005-12-26T12:59:25.820Z,43.692,147.31,59.1,4.4,mb,32,126.8,,1,us,usp000e6yk,2014-11-07T01:27:57.215Z,"48 km ESE of Shikotan, Russia",earthquake,,,,9,reviewed,us,us
2005-12-25T18:15:23.740Z,26.273,125.7,120.9,0,,8,143.7,,1.01,us,usp000e6vr,2014-11-07T01:27:56.643Z,"167 km NNE of Hirara, Japan",earthquake,,19.2,,,reviewed,us,us
2005-12-25T14:08:40.300Z,38.057,138.831,43.7,3.8,mb,12,130,,0.66,us,usp000e6va,2014-11-07T01:27:56.602Z,"24 km NW of Niigata, Japan",earthquake,,18.7,,2,reviewed,us,us
2005-12-25T11:06:55.830Z,35.815,141.115,37.5,4.3,mwr,32,126.9,,0.62,us,usp000e6uv,2014-11-07T01:27:56.577Z,"27 km ENE of Hasaki, Japan",earthquake,,,,,reviewed,us,nied
2005-12-25T02:02:08.980Z,36.897,135.31,378,4,mb,27,83.3,,0.46,us,usp000e6tj,2014-11-07T01:27:56.426Z,"106 km NW of Mikuni, Japan",earthquake,,4,,9,reviewed,us,us
